fk_codigo_Filial,CodigoTransacao,DataTransacao
1,337219,26/01/2023
1,342642,08/02/2023
1,219845,23/04/2022
1,323907,21/12/2022
1,228533,11/05/2022
1,211897,31/03/2022
1,218172,20/04/2022
1,215328,12/04/2022
1,342285,07/02/2023
1,206439,19/03/2022
1,322562,19/12/2022
1,322958,19/12/2022
1,273834,30/08/2022
1,226337,09/05/2022
1,273438,30/08/2022
1,214488,08/04/2022
1,243277,16/06/2022
1,262760,02/08/2022
1,345131,13/02/2023
1,294707,19/10/2022
1,288955,05/10/2022
1,323420,20/12/2022
1,334849,19/01/2023
1,179970,05/01/2022
1,220137,23/04/2022
1,179465,04/01/2022
1,179069,04/01/2022
1,177768,29/12/2021
1,145712,29/09/2021
1,188832,31/01/2022
1,306849,21/11/2022
1,238137,03/06/2022
1,301239,07/11/2022
1,252656,08/07/2022
1,210190,28/03/2022
1,215620,12/04/2022
1,157016,28/10/2021
1,321993,16/12/2022
1,169442,06/12/2021
1,277709,08/09/2022
1,333281,17/01/2023
1,316065,05/12/2022
1,249733,01/07/2022
1,309400,22/11/2022
1,256955,19/07/2022
1,231794,18/05/2022
1,231398,18/05/2022
1,182120,11/01/2022
1,213849,07/04/2022
1,224290,03/05/2022
1,169507,07/12/2021
1,173828,16/12/2021
1,330207,09/01/2023
1,238461,05/06/2022
1,335410,23/01/2023
1,149982,14/10/2021
1,262085,01/08/2022
1,159597,09/11/2021
1,146519,04/10/2021
1,273370,30/08/2022
1,224633,04/05/2022
1,255384,15/07/2022
1,302470,09/11/2022
1,268630,16/08/2022
1,323352,20/12/2022
1,329905,08/01/2023
1,151365,18/10/2021
1,197781,25/02/2022
1,319316,12/12/2022
1,167053,29/11/2021
1,189787,02/02/2022
1,150947,15/10/2021
1,232429,20/05/2022
1,164556,23/11/2021
1,335702,23/01/2023
1,341317,06/02/2023
1,150551,15/10/2021
1,222908,28/04/2022
1,270936,23/08/2022
1,262377,01/08/2022
1,222281,27/04/2022
1,215552,12/04/2022
1,172994,14/12/2021
1,277641,08/09/2022
1,266072,09/08/2022
1,323644,20/12/2022
